People  LS,CLAUDIA,SANDY
Title   Interviewed 1/30/20<br>by Lydia Strohl <https://d1q40j6jx1d8h6.cloudfront.net/Obituaries/23112665/Thumbnail.jpg>
Speaker 2    01:55:33    She grew up in Northern Neck, Virginia. I thought it was Newport News. Newport News. Right. Okay. Yeah. I, I think I remember her daddy owned, um, two, um, bars and went, she eloped with my father and she was engaged to somebody else that they wanted her to marry. And they didn't speak for a year. And then my grandfather got sick and he was upstairs in the bedroom on that side. And every afternoon I think he had pancreatic cancer. Now that I look back on it, we didn't know. We weren't told what he had, just that he was sick. Mm-hmm <affirmative>. Uh, he would put his shirt on and his little bow tie. And he was very tall. My grandmother was very short and he would part his hair in the middle 'cause we thought it was funny. And he'd had his, uh, sheet blanket and then a bed blanket cover on, and all puffed up pills. We'd go in, sit on his bed and he'd entertain us with stories. Mm-hmm <affirmative>. We'd stay half hour, hour, four to five minutes somewhere mm-hmm <affirmative>. Like that. And then we'd leave. And, uh, he didn't last very long.  
Speaker 1    01:56:59    Now I imagine that not everyone that came to see her father could afford care.  
Speaker 2    01:57:03    No. We always had an extra child in the house. Uh, first one was Norman Myers, who had cancer. He stayed with us until he died. And then we had another child who came and stayed cancer. My father was taken care of and he died. And then when my brother went off to San Military Academy, oldest brother, he came home with a boy named John Tewkesbury, who same age had, was in the same class as my brother Alfred Boarding school. And he, his parents lived in Argentina, where his father was president of the bank. He had been adopted and they had their own natural child. The mother came one time, she didn't even stay 24 hours to see him and then left. Well, my father educated, paid for boarding school and college for John Bury got a scholarship to college. Um, he, he was with us all through college and service. He went into the Navy. He had a girlfriend that eventually married my father helped him with the wedding. And he, um, just recently died two years ago. So I've had an interesting life.  
Speaker 1    01:58:38    Yes, you have. Did you, uh, go to school away from here? Yes. After the Hill School? Yes.  
Speaker 2    01:58:45    Where did you go? I went to Southern Seminary. Mm-hmm <affirmative>. And I thought I was being kicked out for smoking. I lived in a tower and, uh, Mamie was her eye smother and she couldn't, she had had, had a broken hip and couldn't go upstairs. And so everybody came up and smoked in the tower with us. We had surrounding windows so we could open the windows and puff away. I thought you went to Holton Arms first. No, that was later. Oh. So, um, Southern <inaudible>, the junior college, we had to stay there Thanksgiving. 'cause we had a Thanksgiving banquet on, on Wednesday nights. So my dad always sent a driver down to pick me up after the banquet. Got home late midnight. And one time when I came home, my roommate had been kicked out. She was from Pennsylvania. And I got back to school. I said, why was Connie kicked out?  
Speaker 2    01:59:41    And they said she was caught smoking in the tower. And I said, well, I smoked up there and I was on Student Body, student Council. And they said, well, we didn't catch you. Mm-hmm <affirmative>. So you could stay right on Susan Councils. I said, well, I don't think that's right. They said, well, that's what Cookie Crus. So anyway, she was gone. And I didn't have a roommate for a long while. And people still continue to come up there and smoke. I did too. And when I graduated, I went down to Mamie's Room, which was below the US and I said, Mamie, I just want to apologize for all the bad things I did for smoking. And I said, furthermore, I said, we covered your toilet seat between the, the ring and the porcelain with Saran wrap. And we put manure there and we put 'em in the, the, uh, toes of your slippers and in your road pocket. I said, I, I really, I'm ashamed of have to confess that. And she said, I knew you, you were part of it. She said, but it was that bread for Connie's influence. So I forgave you. And I said, and furthermore I said, we had a hot plate, electric hot plate down underneath the call foot tub at the end of the hall where we used to cook. And she said, I knew that. She said, I finally took that away. She said, but that was your horrible roommate's influence. <laugh>.  
Speaker 1    02:01:23    And was it Connie that thought up all those things? No,  
Speaker 2    02:01:29    Our room was the most popular room. And that was my first encounter with gays. We had two girls at the end of the hall were gay. I never knew what gay was. Never even heard the word. So I learned a lot at school <laugh>, none of which was in books <laugh>. I, um, went to Hill School. As I said, there were only three rooms. I had remedial reading with Ms. Beige every afternoon my four family had to pay for, 'cause they couldn't read, never did Learn to Read. Went off to Bar Harbor, Maine to a special school up there. And they tested me and said, yeah, you can't read, can't spell. So they flashed words on screen, big print, and then small print. So they taught me to sight read. And they said, you will never be able to spell, but people will always know what you're trying to say. Well, I became such a reader after that about every book I could get my hands on. When I was up there, I went to school with Tony Downey Jr. Who was son of the Performer, and Al Joseph Jolson's son. Uh, it was a wonderful summer. Went to concerts at the hotel there. I loved it. I had a great time up there and learned to read.  
Speaker 1    02:02:59    So how, how old were you at that point?  
Speaker 2    02:03:02    14.  
Speaker 1    02:03:02    14. So, and then the Hill School still was at, went to eighth grade at that point? Yes. So then you went Yeah. And then you went to Hilton  
Speaker 2    02:03:11    Nors, then I went to Norms. Yeah. And when I got to Hol Norms, the uh, English teacher there said, in all my years teaching, I have never had a student that couldn't spell. And she said, and this year I have two, so I will grade their papers differently. So I got lucky.  
Speaker 1    02:03:32    Now, did you n not learn, dispel just 'cause you never knew or?  
Speaker 2    02:03:36    I was told deaf. So all that money wasted all those years with Ms. May and learned. I had French, can't speak a word of French to this day. It had French from the second grade on.  
Speaker 1    02:03:56    Maybe that's why they don't teach languages at the Hill School anymore. <laugh>. It's too, too early, too  
Speaker 2    02:04:02    Easy. I early in high school had Latin. I do not speak Latin, but I enjoyed it. And I do understand words now. Mm-hmm <affirmative>. You know where they come from. Mm-hmm <affirmative>. So that was good. Right. And I devoured lot in books, even though as I say, I can't speak it.  
Speaker 1    02:04:23    Yeah.  
Speaker 2    02:04:26    That's it. End of the story. Well, and my charmed life,  
Speaker 1    02:04:30    You have had some life,  
Speaker 1    02:04:32    Huh? I had a one, I have a wonderful husband and three precious darling, smart, intelligent daughters. <laugh>, who are my keepers who cook for me.  
Speaker 0    02:04:43    <laugh> sometimes. And you're lucky enough to have two of them here.  
Speaker 2    02:04:47    I know, I know. I'm  
Speaker 5    02:04:48    Very, very lucky.  
Speaker 1    02:04:49    That's really, I am very lucky. That's really something. Yeah.  
Speaker 2    02:04:53    Oh,  
Speaker 1    02:04:54    That you get to,  
Speaker 2    02:04:55    I've taken up too much. You to,  
Speaker 5    02:04:57    So do you have to go back in and get Cade  
Speaker 1    02:05:00    Or, uh, eventually.  
Speaker 5    02:05:01    Okay. So you and then come back out for the weekend,  
Speaker 1    02:05:04    Or you stay No, we're coming out this weekend. Oh. Our older kids are coming in. Oh, okay. Uh, for the weekend, so. Oh, nice. We're gonna stay in there. You wanna see Tim at  
Speaker 2    02:05:15    12?  
Speaker 5    02:05:15    I know. I can't believe I've  
Speaker 2    02:05:17    Been here. I've taken up all this time of yours.  
Speaker 1    02:05:19    It's a pleasure.  
Speaker 2    02:05:22    Well, we've governed a lot of  
Speaker 1    02:05:24    Territory. Yeah. We c certainly have.  
Speaker 2    02:05:26    And if you want to, you can go to walk pen and look for the key  
Speaker 1    02:05:29    <laugh>. And if you  
Speaker 5    02:05:30    Need any I don't, you can do, you're just doing the verbal history. But I, I was thinking I do have some pictures.  
Speaker 2    02:05:34    I would love  
Speaker 5    02:05:35    You eventually need them or maybe we can get together and  
Speaker 1    02:05:37    Yeah, I think it would be fun. Yeah.  
Speaker 2    02:05:39    I gotta go to the grocery store now. Okay.  
Speaker 1    02:05:41    <laugh>. I think it would be fun to look at the pictures with your mom. Okay. And just, you know, we could just still have the Well, why  
Speaker 2    02:05:47    Don't you to the house. I  
Speaker 1    02:05:48    Would love to do that.  
Speaker 5    02:05:49    I know. I told her you were just, everything was, or  
Speaker 2    02:05:51    Go to Gabby and she'll give us lunch.  
Speaker 5    02:05:54    I know. I, I totally, I owe Lydia anyway. And Eric, you don't owe, they're coming over for dinner. Golly.  
Speaker 1    02:06:00    Why do you think that you are always entertaining us? Oh, no,  
Speaker 5    02:06:02    No, no. We have not. Not at our house. We need to do it at our house. Daddy, you  
Speaker 2    02:06:06    Need take my scissors and Well, here  
Speaker 5    02:06:09    This. No, that's how they're, they're they, you, you pay for 'em that way.  
Speaker 2    02:06:13    Oh gosh. I wouldn't pay for any That look like that. <laugh>.  
Speaker 1    02:06:17    Sometimes people pay for holes. Exactly.  
Speaker 2    02:06:20    Not me.  
Speaker 1    02:06:21    <laugh>,  
Speaker 2    02:06:22    I would think that robbery.  
Speaker 1    02:06:24    So ju just take this with you. It's free you guys to just know Oh, good. About what they're doing at the museum. They're basically gonna take the pink box and build a corridor and an identical building. So it'll sort of look like a stable,  
Speaker 2    02:06:40    I don't know where the pink box was originally. I think it was moved there. Was it, it  
Speaker 1    02:06:44    Was moved there, but I don't know where it was moved from. From it may say in there. Okay. But it's, you know, it's been the,  
Speaker 5    02:06:50    It's been the, um,  
Speaker 1    02:06:52    Take  
Speaker 5    02:06:53    This. Do you want any more of this, Maria?  
Speaker 1    02:06:54    Are you gonna drink it? Okay.  
Speaker 2    02:06:55    I like you like your scarf.  
Speaker 1    02:06:57    Yes. It's a little bit tricky in DC uh, people are not feels good. You know, I don't really like you wearing fur. I guess I,  
Speaker 2    02:07:04    I have one that's made out of feathers.  
Speaker 1    02:07:07    Well, I, you know, here's the thing. I didn't kill that rabbit <laugh>. Exactly.  
Speaker 2    02:07:13    I'm glad to hear that. Um, oh my gosh.  
Speaker 1    02:07:16    Thank you. Thank you. So fun. I enjoyed it,  
Speaker 2    02:07:19    Lydia. Okay.  
Speaker 1    02:07:20    Thank you. Um, we'll do that soon. Thank you for bringing them both. And I will share this with, with you, so you have this for your family.  
Speaker 5    02:07:29    Be  
Speaker 2    02:07:29    Awesome. I know.  
Speaker 1    02:07:30    So sweet. That's fun to have, I think. Definitely. So  
Speaker 7    02:07:35    I have the house because of course left all his stuff, chargers and whatever. And, and then I'm gonna go back.  
Speaker 8    02:07:42    Okay. A footnote. I know we lived in mass where the, I think it's the first shot now. Um, we had, uh, guests all the time at dinner. And during the World War ii, black ice, we had black curtains. Oh yeah. And we would get underneath the table and finish eating dinner at Quail. My dad and brothers were all honors, so it was really funny to be sitting underneath the table eating coil for dinner. <laugh>. So this was your, your mother's room was here? Yeah. And this was the dining. 
